treatment,outcome,effect,stderr,p_value,error
aged_15plus_labour_force_participation_rate_percent,aged_15_64_labour_force_participation_rate_percent,,,,exog contains inf or nans
aged_15_24_employment_rate_percent,aged_25_54_labour_force_participation_rate_percent,,,,exog contains inf or nans
males_aged_15plus_labour_force_participation_rate_percent,aged_15_64_labour_force_participation_rate_percent,,,,exog contains inf or nans
males_aged_15_64_labour_force_participation_rate_percent,aged_15_64_labour_force_participation_rate_percent,,,,exog contains inf or nans
agricultural_land_percent_of_land_area,male_agriculture_workers_percent_of_male_employment,,,,exog contains inf or nans
aid_received_total_us_inflation_adjusted,extreme_temperature_affected_annual_number,,,,exog contains inf or nans
all_forms_of_tb_existing_cases_per_100000_estimated,infectious_tb_number_of_new_cases_estimated,,,,exog contains inf or nans
all_forms_of_tb_new_cases_per_100000_reported,female_population_with_projections,,,,exog contains inf or nans
body_mass_index_bmi_men_kgperm2,all_forms_of_tb_number_of_deaths_estimated,,,,exog contains inf or nans
all_forms_of_tb_number_of_new_cases_estimated,all_forms_of_tb_number_of_existing_cases_estimated,,,,exog contains inf or nans
food_supply_kilocalories_per_person_and_day,all_forms_of_tb_number_of_new_cases_estimated,,,,exog contains inf or nans
alternative_gdp_per_capita_ppp_pwt_7_1,alternative_gdp_per_capita_ppp_wb,,,,exog contains inf or nans
epidemic_affected_annual_number,alternative_gdp_per_capita_ppp_pwt_7_1,,,,exog contains inf or nans
gdppercapita_growth_percent_per_year,alternative_gdp_per_capita_ppp_wb,,,,exog contains inf or nans
alternative_gdp_per_capita_ppp_wb,population_growth_annual_percent_with_projections,,,,exog contains inf or nans
annual_hiv_deaths_number_all_ages,colonandrectum_cancer_deaths_per_100000_men,,,,exog contains inf or nans
people_living_with_hiv_number_all_ages,armed_forces_personnel_percent_of_labor_force,,,,exog contains inf or nans
armed_forces_personnel_percent_of_labor_force,plane_crash_affected_annual_number,,,,exog contains inf or nans
armed_forces_personnel_total,arms_imports_us_inflation_adjusted,,,,exog contains inf or nans
at_least_basic_sanitation_overall_access_percent,poisonings_deaths_per_100000_people,,,,exog contains inf or nans
population_total,at_least_basic_sanitation_overall_access_percent,,,,exog contains inf or nans
at_least_basic_sanitation_rural_access_percent,at_least_basic_water_source_overall_access_percent,,,,exog contains inf or nans
at_least_basic_sanitation_rural_access_percent,at_least_basic_water_source_rural_access_percent,,,,exog contains inf or nans
at_least_basic_sanitation_urban_access_percent,at_least_basic_water_source_overall_access_percent,,,,exog contains inf or nans
at_least_basic_sanitation_urban_access_percent,at_least_basic_water_source_rural_access_percent,,,,exog contains inf or nans
at_least_basic_water_source_urban_access_percent,at_least_basic_water_source_overall_access_percent,,,,exog contains inf or nans
births_attended_by_skilled_health_staff_percent_of_total,at_least_basic_water_source_overall_access_percent,,,,exog contains inf or nans
births_attended_by_skilled_health_staff_percent_of_total,at_least_basic_water_source_rural_access_percent,,,,exog contains inf or nans
blood_pressure_sbp_men_mmhg,corruption_perception_index_cpi,,,,exog contains inf or nans
blood_pressure_sbp_men_mmhg,dtp3_immunized_percent_of_one_year_olds,,,,exog contains inf or nans
epidemic_affected_annual_number,blood_pressure_sbp_women_mmhg,,,,exog contains inf or nans
sugar_per_person_g_per_day,blood_pressure_sbp_women_mmhg,,,,exog contains inf or nans
breast_cancer_deaths_per_100000_women,body_mass_index_bmi_men_kgperm2,,,,exog contains inf or nans
body_mass_index_bmi_women_kgperm2,co2_emissions_tonnes_per_person,,,,exog contains inf or nans
breast_cancer_deaths_per_100000_women,falls_deaths_per_100000_people,,,,exog contains inf or nans
tb_programme_dots_population_coverage_percent,breast_cancer_deaths_per_100000_women,,,,exog contains inf or nans
breast_cancer_new_cases_per_100000_women,liver_cancer_new_cases_per_100000_men,,,,exog contains inf or nans
extreme_temperature_affected_annual_number,cell_phones_total,,,,exog contains inf or nans
extreme_temperature_affected_annual_number,cervical_cancer_deaths_per_100000_women,,,,exog contains inf or nans
cervical_cancer_number_of_female_deaths,cervical_cancer_new_cases_per_100000_women,,,,exog contains inf or nans
population_aged_0_4_years_total_number,children_per_woman_total_fertility,,,,exog contains inf or nans
child_mortality_0_5_year_olds_dying_per_1000_born,debt_servicing_costs_percent_of_exports_and_net_income_from_abroad,,,,exog contains inf or nans
cholesterol_fat_in_blood_men_mmolperl,number_of_child_deaths,,,,exog contains inf or nans
cholesterol_fat_in_blood_men_mmolperl,total_gdp_us_inflation_adjusted,,,,exog contains inf or nans
cholesterol_fat_in_blood_women_mmolperl,co2_emissions_tonnes_per_person,,,,exog contains inf or nans
colonandrectum_cancer_deaths_per_100000_men,females_aged_15plus_employment_rate_percent,,,,exog contains inf or nans
gdpperemployee_us_inflation_adjusted,colonandrectum_cancer_deaths_per_100000_men,,,,exog contains inf or nans
merchandise_trade_percent_of_gdp,colonandrectum_cancer_deaths_per_100000_men,,,,exog contains inf or nans
colonandrectum_cancer_new_cases_per_100000_men,liver_cancer_number_of_female_deaths,,,,exog contains inf or nans
newborn_mortality_rate_per_1000,colonandrectum_cancer_new_cases_per_100000_men,,,,exog contains inf or nans
colonandrectum_cancer_number_of_female_deaths,stomach_cancer_new_cases_per_100000_men,,,,exog contains inf or nans
contraceptive_use_percent_of_women_ages_15_49,colonandrectum_cancer_number_of_new_female_cases,,,,exog contains inf or nans
liver_cancer_deaths_per_100000_women,contraceptive_use_percent_of_women_ages_15_49,,,,exog contains inf or nans
debt_to_foreigners_by_public_and_private_percent_of_gni,corruption_perception_index_cpi_pre2012,,,,exog contains inf or nans
out_of_pocket_share_of_total_health_spending_percent,crude_death_rate_deaths_per_1000_population,,,,exog contains inf or nans
infectious_tb_detection_rate_percent,data_quality_life_expectancy,,,,exog contains inf or nans
tax_revenue_percent_of_gdp,data_quality_life_expectancy,,,,exog contains inf or nans
